aclew_id	age_mo_round	p/b	t/d	k/ɡ	m	f	n	l	r	s/z	ʃ/ʒ	ŋ	x/ɣ	vms.count	total.cons.tokens	total.n.vocs	tʃ/dʒ	w	j	ʔ	h
1143	8	NA	6	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	2	24	99	NA	NA	NA	NA	NA
8018	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	109	NA	NA	6	NA	21
8274	10	NA	15	NA	22	NA	NA	19	NA	NA	NA	NA	NA	3	81	118	NA	NA	NA	NA	11
5623	11	22	28	5	54	NA	20	11	NA	NA	NA	NA	NA	6	209	197	NA	23	21	5	17
3446	12	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	1	91	208	NA	NA	NA	NA	29
4624	12	NA	16	6	NA	NA	5	NA	NA	NA	NA	NA	NA	3	72	153	NA	NA	8	NA	31
2977	13	NA	10	10	5	NA	NA	NA	NA	NA	NA	NA	NA	3	55	148	NA	NA	6	NA	14
5139	13	27	40	11	8	NA	NA	12	NA	NA	NA	NA	NA	5	384	303	NA	83	23	12	165
7035	13	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	1	33	104	NA	NA	NA	NA	14
1504	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	15	107	NA	NA	NA	NA	12
9562	16	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	43	193	NA	10	NA	NA	13
6934	17	21	19	9	14	NA	NA	NA	NA	NA	NA	NA	NA	4	114	146	NA	16	NA	15	13
